Station Name,Mean Temperature (C),Total Precipitation (mm),Province,Year
LAVAL DES RAPIDES,23.8,130.3,Quebec,1975
LAWRENCE,20.0,115.1,Quebec,1975
LENNOXVILLE,21.3,146.5,Quebec,1975
MACDONALD COLLEGE,23.1,107.4,Quebec,1975
MAGOG,21.3,155.4,Quebec,1975
MAPLE LEAF,20.4,98.7,Quebec,1975
MAPLE LEAF EAST,20.3,132.1,Quebec,1975
MELOCHEVILLE,23.0,79.0,Quebec,1975
MERCIER,22.6,65.9,Quebec,1975
MILAN,19.0,123.6,Quebec,1975
MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,22.5,154.8,Quebec,1975
MONTREAL JAR BOT,23.4,184.5,Quebec,1975
MONTREAL JEAN BREBEUF,23.3,158.5,Quebec,1975
MONTREAL LAFONTAINE,24.1,158.3,Quebec,1975
MONTREAL MCGILL,24.0,154.5,Quebec,1975
NICOLET,22.4,121.5,Quebec,1975
NOTRE DAME DES BOIS,19.1,151.8,Quebec,1975
ORMSTOWN,22.9,44.6,Quebec,1975
PHILIPSBURG,23.1,114.1,Quebec,1975
POINTE CLAIRE,22.9,159.6,Quebec,1975
POINTE DU MOULIN,22.8,81.7,Quebec,1975
POSTE SARAGUAY,22.3,106.7,Quebec,1975
RICHMOND,21.2,187.3,Quebec,1975
RIVIERE DES PRAIRIES,22.8,118.0,Quebec,1975
ROUGEMONT,22.2,139.0,Quebec,1975
SACRE COEUR DE MARIE,20.0,151.6,Quebec,1975
ST ANICET,22.6,101.0,Quebec,1975
STE ANNE DE BELLEVUE,22.7,110.7,Quebec,1975
ST ANTOINE DE PONTBRIAND,20.3,125.0,Quebec,1975
ST BENOIT LABRE,20.3,140.4,Quebec,1975
ST BERNARD DE LACOLLE,23.2,93.6,Quebec,1975
STE CECILE,19.7,118.2,Quebec,1975
STE CLOTHILDE CDA,22.3,75.1,Quebec,1975
ST COME DE LINIERE,20.2,119.6,Quebec,1975
ST CONSTANT,22.0,118.1,Quebec,1975
STE CROIX,21.9,4.8,Quebec,1975
STE DOROTHEE,23.0,136.7,Quebec,1975
ST EPHREM,20.0,147.3,Quebec,1975
ST FERDINAND,20.1,148.7,Quebec,1975
ST FLAVIEN,21.1,102.9,Quebec,1975
ST FORTUNAT,19.2,187.9,Quebec,1975
STE FRANCOISE ROMAINE,21.0,164.2,Quebec,1975
ST GEDEON,20.4,128.5,Quebec,1975
STE GENEVIEVE,23.0,128.0,Quebec,1975
ST GEORGES,20.3,101.9,Quebec,1975
ST GUILLAUME,21.6,133.1,Quebec,1975
ST HILAIRE DORSET,19.2,125.2,Quebec,1975
MONTREAL/ST-HUBERT A,22.2,154.2,Quebec,1975
ST HYACINTHE,23.3,151.3,Quebec,1975
ST HYACINTHE 2,22.9,134.9,Quebec,1975
ST ISIDORE D'AUCKLAND,20.2,116.6,Quebec,1975
ST JEAN CHRYSOSTOME,20.8,134.7,Quebec,1975
ST JEAN DE BREBEUF,19.1,181.5,Quebec,1975
ST LUDGER,21.4,140.0,Quebec,1975
ST MALO D AUCKLAND,20.3,141.2,Quebec,1975
STE MARTINE,23.6,65.0,Quebec,1975
ST NAZAIRE,21.7,112.4,Quebec,1975
ST ODILON,19.5,109.7,Quebec,1975
ST PIERRE DE BROUGHTON,20.0,98.5,Quebec,1975
ST PROSPER,19.5,133.7,Quebec,1975
ST REMI,22.6,62.5,Quebec,1975
ST SEBASTIEN,19.4,152.5,Quebec,1975
ST SEVERIN,19.8,126.3,Quebec,1975
ST THEOPHILE,19.8,110.3,Quebec,1975
ST ZACHARIE,18.6,105.8,Quebec,1975
SAWYERVILLE NORD,20.8,108.5,Quebec,1975
SCOTT,21.3,125.6,Quebec,1975
SHERBROOKE A,19.4,169.7,Quebec,1975
SHERBROOKE (UNIVERSITE),22.0,147.3,Quebec,1975
SOREL,23.4,112.8,Quebec,1975
SOUTH DURHAM,21.5,122.9,Quebec,1975
STANSTEAD,20.9,139.1,Quebec,1975
SUTTON JONCTION,21.8,186.6,Quebec,1975
THETFORD MINES,20.1,139.9,Quebec,1975
VALLEE JONCTION,21.2,118.4,Quebec,1975
VALLEYFIELD,23.1,72.6,Quebec,1975
VAL RACINE,19.5,180.8,Quebec,1975
VERCHERES,22.3,140.4,Quebec,1975
VICTORIAVILLE,21.5,74.3,Quebec,1975
WARDEN,21.2,103.6,Quebec,1975
WEST DITTON,19.5,169.4,Quebec,1975
WOBURN,19.4,138.4,Quebec,1975
DAVELUYVILLE,21.1,132.6,Quebec,1975
ST CAMILLE WOLFE,20.8,127.2,Quebec,1975
ST FRANCOIS DE LAVAL,22.6,118.8,Quebec,1975
ANGERS,21.6,83.5,Quebec,1975
ARUNDEL,20.0,81.6,Quebec,1975
BARRAGE MERCIER,20.1,72.6,Quebec,1975
BLANCHE,19.4,70.9,Quebec,1975
BUCKINGHAM,20.7,73.4,Quebec,1975
CAMP TAMARACOUTA,20.2,114.6,Quebec,1975
CHELSEA,22.0,90.3,Quebec,1975
CHENEVILLE,20.6,53.5,Quebec,1975
CHUTE ST PHILIPPE,19.6,35.4,Quebec,1975
FERME NEUVE,20.3,65.6,Quebec,1975
HARRINGTON FOREST FARM,20.9,95.1,Quebec,1975
HUBERDEAU,20.9,76.4,Quebec,1975
LACHUTE,21.6,98.7,Quebec,1975
LAC ST DENIS,19.7,67.7,Quebec,1975
LA MACAZA A,19.3,64.0,Quebec,1975
LA MINERVE,19.5,58.0,Quebec,1975
L'ANNONCIATION,20.1,22.8,Quebec,1975
LYTTON,19.4,30.8,Quebec,1975
MANIWAKI UA,20.3,46.9,Quebec,1975
MANIWAKI 2,21.0,51.2,Quebec,1975
MASSON,21.8,77.5,Quebec,1975
MONTEBELLO (SEDBERGH),21.1,97.2,Quebec,1975
MONT LAURIER,19.7,51.9,Quebec,1975
NOMININGUE,18.9,64.8,Quebec,1975
NOTRE DAME DU LAUS,20.3,19.1,Quebec,1975
POINTE AU CHENE,21.7,117.5,Quebec,1975
STE AGATHE DES MONTS,20.0,68.9,Quebec,1975
STE ANNE DU LAC,19.2,76.8,Quebec,1975
ST FAUSTIN,19.6,75.6,Quebec,1975
ST HIPPOLYTE,20.9,76.8,Quebec,1975
ST JEROME,21.6,114.9,Quebec,1975
SHAWVILLE,20.9,69.6,Quebec,1975
SHEENBORO,21.6,49.4,Quebec,1975
TAPINI FARM,19.2,83.4,Quebec,1975
THURSO,22.7,80.2,Quebec,1975
VAL DES BOIS,20.8,57.9,Quebec,1975
WAKEFIELD,21.7,32.3,Quebec,1975
WRIGHT,20.9,67.4,Quebec,1975
DUHAMEL,20.7,45.1,Quebec,1975
BAIE-COMEAU A,17.1,130.0,Quebec,1975
BAIE ST PAUL,20.6,90.5,Quebec,1975
BARRIERE CLERMONT,20.1,78.8,Quebec,1975
BLANC SABLON,12.3,77.8,Quebec,1975
BLANC SABLON,12.6,95.6,Quebec,1975
BAIE COMEAU,18.6,87.0,Quebec,1975
BAIE JOHAN BEETZ,16.2,113.1,Quebec,1975
CAP TOURMENTE,21.0,144.2,Quebec,1975
CHUTE AUX OUTARDES,18.0,70.8,Quebec,1975
CLARKE CITY,17.8,75.6,Quebec,1975
FORESTVILLE,19.5,62.3,Quebec,1975
FORESTVILLE NORD,19.2,56.0,Quebec,1975
FORET MONTMORENCY,16.8,138.3,Quebec,1975
GAGNON A,15.8,110.8,Quebec,1975
GODBOUT,17.0,98.8,Quebec,1975
GRANDES BERGERONNES,18.2,63.3,Quebec,1975
GRAND FONDS,19.2,84.3,Quebec,1975
HARRINGTON HARBOUR,12.2,72.7,Quebec,1975
HAVRE ST PIERRE,15.7,115.8,Quebec,1975
LABRIEVILLE B1,20.7,169.3,Quebec,1975
LAKE EON,16.5,100.3,Quebec,1975
LA MALBAIE,19.7,89.7,Quebec,1975
LAC BARBELL,16.3,99.5,Quebec,1975
LA TABATIERE,15.8,74.2,Quebec,1975
LES BUISSONS,17.5,98.6,Quebec,1975
LES CHAINONS,17.1,172.3,Quebec,1975
LES EBOULEMENTS,18.8,89.0,Quebec,1975
MANIC 2 LB1,20.0,95.0,Quebec,1975
MANIC MILLE 76,18.4,141.2,Quebec,1975
NATASHQUAN A,16.3,107.6,Quebec,1975
NOTRE DAME DES MONTS,18.8,80.3,Quebec,1975
PENTECOTE,18.9,108.0,Quebec,1975
PETITE RIV ST FRANCOIS,20.9,105.4,Quebec,1975
PETIT SAGUENAY,18.0,91.7,Quebec,1975
POSTE MONTAGNAIS,17.3,174.1,Quebec,1975
RIVIERE ST AUGUSTIN,16.6,79.5,Quebec,1975
STE ANNE DE BEAUPRE,21.2,137.9,Quebec,1975
ST CASSIEN DES CAPS,19.4,107.8,Quebec,1975
ST FEREOL,19.4,144.5,Quebec,1975
ST FIDELE,19.6,78.1,Quebec,1975
ST FIDELE 2,19.2,78.7,Quebec,1975
ST JEAN (IO),21.3,175.8,Quebec,1975
STE ROSE DU NORD,19.8,142.2,Quebec,1975
ST SIMEON,18.0,66.9,Quebec,1975
ST TITE DES CAPS,18.8,165.9,Quebec,1975
ST URBAIN,20.4,66.0,Quebec,1975
SEPT-ILES A,16.8,100.6,Quebec,1975
SHELTER BAY,17.4,90.7,Quebec,1975
TADOUSSAC,18.0,75.0,Quebec,1975
TETE A LA BALEINE,15.7,71.3,Quebec,1975
TOUR LAC AUX PERLES,18.1,216.6,Quebec,1975
ILE AUX COUDRES,19.0,86.5,Quebec,1975
LES PALISSADES,20.5,68.0,Quebec,1975
LES ESCOUMINS,18.7,68.3,Quebec,1975
RIVIERE AU TONNERRE,16.0,92.3,Quebec,1975
RIVIERE ST JEAN,16.0,92.3,Quebec,1975
ST FRANCOIS IO,22.1,155.4,Quebec,1975
ST HILARION,19.6,120.9,Quebec,1975
TOULNUSTOUC,19.5,97.2,Quebec,1975
ALBERTVILLE,20.4,119.6,Quebec,1975
AMQUI,20.7,81.7,Quebec,1975
ANSE AU GRIFFON,19.7,103.4,Quebec,1975
ARMAGH STATION,20.3,99.1,Quebec,1975
BARRAGE LAC MORIN,20.6,79.1,Quebec,1975
BIC,18.8,102.8,Quebec,1975
BARRIERE MITIS,19.0,78.7,Quebec,1975
CAP CHAT DELVAL,18.8,97.7,Quebec,1975
CAP MADELEINE,18.7,69.5,Quebec,1975
CAP SEIZE,19.3,140.7,Quebec,1975
CAUSAPSCAL,19.7,168.4,Quebec,1975
FAREWELL COVE,18.7,102.6,Quebec,1975
GASPE,18.5,89.8,Quebec,1975
GRANDE VALLEE,20.0,100.4,Quebec,1975
GRINDSTONE ISLAND,18.7,62.0,Quebec,1975
HAVRE AUX MAISONS,19.0,66.4,Quebec,1975
HONFLEUR,21.0,75.7,Quebec,1975
KAMOURASKA,19.8,59.7,Quebec,1975
LAC HUMQUI,18.9,86.1,Quebec,1975
LAMARTINE,21.4,118.4,Quebec,1975
LA POCATIERE CDA,21.2,57.3,Quebec,1975
LUCEVILLE,19.7,161.9,Quebec,1975
MINE MADELEINE,16.2,139.2,Quebec,1975
MONT-JOLI A,19.3,115.8,Quebec,1975
MONT LOUIS,20.3,76.9,Quebec,1975
MONTMAGNY,21.6,162.1,Quebec,1975
MURDOCHVILLE,19.0,105.4,Quebec,1975
NEW CARLISLE,20.0,144.9,Quebec,1975
NEW RICHMOND,19.8,161.5,Quebec,1975
NOTRE DAME DU LAC,20.9,103.3,Quebec,1975
NOTRE DAME DU ROSAIRE,18.6,100.0,Quebec,1975
NOUVELLE,19.4,142.6,Quebec,1975
OUIMET,19.6,89.7,Quebec,1975
PARC METIS,19.5,123.2,Quebec,1975
PARKE,20.3,66.8,Quebec,1975
PETITE MATANE,18.2,144.9,Quebec,1975
POINTE AU PERE,18.1,128.0,Quebec,1975
PORT DANIEL,19.5,146.5,Quebec,1975
PORT MENIER,17.5,71.7,Quebec,1975
PRICE,20.1,123.0,Quebec,1975
RIMOUSKI,19.8,134.3,Quebec,1975
RIVIERE AU RENARD,19.3,64.7,Quebec,1975
RIVIERE BLEUE,20.6,105.1,Quebec,1975
RIVIERE DU LOUP,19.9,45.2,Quebec,1975
ST ALEXIS DE MATAPEDIA,19.4,135.4,Quebec,1975
STE ANNE DES MONTS,18.3,147.7,Quebec,1975
ST ARSENE,19.8,89.1,Quebec,1975
ST BRUNO KAMOURASKA,20.7,76.2,Quebec,1975
ST CAMILLE,19.2,122.0,Quebec,1975
ST CHARLES GARNIER,19.7,101.3,Quebec,1975
ST CLEMENT,19.8,60.1,Quebec,1975
ST DAMASE DES AULNAIES,20.0,96.2,Quebec,1975
ST ELEUTHERE,20.0,108.9,Quebec,1975
ST ELZEAR DE BONAVENTURE,19.2,164.4,Quebec,1975
STE GERMAINE,19.0,160.9,Quebec,1975
ST GUY,19.1,110.9,Quebec,1975
ST JEAN DE CHERBOURG,19.0,139.6,Quebec,1975
STE LUCIE,19.1,139.7,Quebec,1975
ST MALACHIE,20.3,86.0,Quebec,1975
ST MODESTE,20.8,74.7,Quebec,1975
ST PAMPHILE,20.1,104.2,Quebec,1975
STE PERPETUE,19.8,120.3,Quebec,1975
ST RAPHAEL,21.4,141.5,Quebec,1975
ST RENE DE MATANE,20.0,139.2,Quebec,1975
STE ROSE DU DEGELIS,20.0,100.7,Quebec,1975
SQUATECK,20.1,133.4,Quebec,1975
TRINITE DES MONTS,19.8,76.0,Quebec,1975
TROIS PISTOLES,20.4,86.1,Quebec,1975
TROUT RIVER DEPOT,18.3,176.9,Quebec,1975
VAL D ESPOIR,17.8,89.0,Quebec,1975
ST PACOME,21.4,60.7,Quebec,1975
FONTENELLE,18.9,126.2,Quebec,1975
AIGREMONT,17.6,182.9,Quebec,1975
ALBANEL,19.1,119.9,Quebec,1975
ARVIDA,20.1,131.1,Quebec,1975
BAGOTVILLE A,20.4,179.6,Quebec,1975
BONNARD,16.4,140.3,Quebec,1975
CHICOUTIMI,21.6,156.0,Quebec,1975
CHUTE-DES-PASSES,14.9,100.2,Quebec,1975
CHUTE DES PASSES 2,17.9,122.0,Quebec,1975
CHUTE DU DIABLE,19.9,127.3,Quebec,1975
FERLAND,19.9,111.3,Quebec,1975
HEMON,18.9,177.3,Quebec,1975
ISLE MALIGNE,20.5,139.7,Quebec,1975
JONQUIERE,20.8,130.1,Quebec,1975
LAC BOUCHETTE,19.5,148.1,Quebec,1975
LAC DES COMMISSAIRES,19.5,128.2,Quebec,1975
LAC STE CROIX,20.2,157.8,Quebec,1975
LATERRIERE,19.9,176.9,Quebec,1975
MESY,18.0,123.9,Quebec,1975
MISTASSIBI,19.8,129.2,Quebec,1975
MISTASSINI,19.4,145.2,Quebec,1975
MONT APICA,18.9,173.7,Quebec,1975
NORMANDIN CDA,19.1,123.1,Quebec,1975
PERIBONCA,19.9,172.9,Quebec,1975
PORTAGE DES ROCHES,20.3,170.9,Quebec,1975
ROBERVAL A,19.8,156.3,Quebec,1975
ST AMBROISE,19.6,176.7,Quebec,1975
ST COEUR DE MARIE,19.9,150.5,Quebec,1975
ST LEON DE LABRECQUE,19.6,152.4,Quebec,1975
SHIPSHAW,20.8,132.7,Quebec,1975
LA DORE,19.6,98.5,Quebec,1975
BARRAGE GOUIN,17.8,111.2,Quebec,1975
BARRAGE MATTAWIN,19.7,72.9,Quebec,1975
BELLE PLAGE,18.1,129.7,Quebec,1975
LAC INMAN,20.2,78.1,Quebec,1975
LAC MARTEL,18.0,95.6,Quebec,1975
LA TUQUE,21.3,54.5,Quebec,1975
MANOUAN SANMAUR 2,18.2,61.5,Quebec,1975
PARENT,18.2,101.3,Quebec,1975
ST MICHEL DES SAINTS,19.1,66.5,Quebec,1975
LA TUQUE S,21.3,54.7,Quebec,1975
BARRAGE ANGLIERS,19.6,101.0,Quebec,1975
BARRAGE TEMISCAMINGUE,20.5,88.8,Quebec,1975
BELLETERRE,18.7,82.3,Quebec,1975
KIPAWA LANIEL,20.5,53.6,Quebec,1975
LE DOMAINE,19.6,44.5,Quebec,1975
MANNEVILLE,18.0,128.2,Quebec,1975
MONTBEILLARD,18.9,117.6,Quebec,1975
MOOSE BAY KIPAWA,20.5,102.7,Quebec,1975
REMIGNY,19.6,85.0,Quebec,1975
RIVIERE KINOJEVIS,18.9,59.7,Quebec,1975
VILLE MARIE,20.0,72.5,Quebec,1975
LATULIPE,19.0,69.2,Quebec,1975
AMOS,18.2,107.7,Quebec,1975
CHAPAIS 2,18.4,104.7,Quebec,1975
CHIBOUGAMAU,17.3,141.8,Quebec,1975
CHIBOUGAMAU A,17.8,152.5,Quebec,1975
EASTMAIN,14.7,161.8,Quebec,1975
HELENE,14.9,127.5,Quebec,1975
JOUTEL,18.2,91.9,Quebec,1975
LA GRANDE LG3,14.6,112.3,Quebec,1975
LA MORANDIERE,17.5,103.4,Quebec,1975
LA SARRE,19.3,80.8,Quebec,1975
MATAGAMI A,17.7,205.4,Quebec,1975
MISTASSINI POST,17.7,49.8,Quebec,1975
NITCHEQUON,15.0,106.1,Quebec,1975
NOUVEAU COMPTOIR,18.8,116.1,Quebec,1975
POULARIES,18.3,107.7,Quebec,1975
RIVIERE EASTMAIN,16.5,99.9,Quebec,1975
RIVIERE TEMISCAMIE,16.7,174.9,Quebec,1975
SENNETERRE,18.2,121.3,Quebec,1975
TASCHEREAU,17.9,162.7,Quebec,1975
VAL-D'OR A,18.8,88.1,Quebec,1975
VAL ST GILLES,17.3,163.8,Quebec,1975
CAMP DES PINS,15.1,107.5,Quebec,1975
LAC BERRY,16.9,96.7,Quebec,1975
LAC ATTILA,13.8,30.5,Quebec,1975
INUKJUAK UA,10.0,40.2,Quebec,1975
KUUJJUARAPIK A,10.7,154.0,Quebec,1975
BORDER A,13.0,205.5,Quebec,1975
KUUJJUAQ A,11.7,40.2,Quebec,1975
QUAQTAQ,7.7,34.8,Quebec,1975
SCHEFFERVILLE A,14.0,177.8,Quebec,1975
ACADIA FOREST EXP ST,20.5,147.3,New Brunswick,1975
ALMA,17.4,124.1,New Brunswick,1975
AROOSTOOK,20.6,151.2,New Brunswick,1975
ARTHURETTE BIRCH RIDGE,20.9,113.8,New Brunswick,1975
BATHURST,21.1,182.9,New Brunswick,1975
BEECHWOOD,20.7,74.0,New Brunswick,1975
BON ACCORD,19.1,145.5,New Brunswick,1975
BRUNSWICK MINES,20.0,148.3,New Brunswick,1975
BUCTOUCHE,21.5,100.5,New Brunswick,1975
BURNT CHURCH,21.3,139.8,New Brunswick,1975
CAMPBELLTON POWER ST,20.9,96.2,New Brunswick,1975
CANTERBURY,20.5,98.2,New Brunswick,1975
CAP PELE,20.0,58.3,New Brunswick,1975
CENTREVILLE,20.3,65.2,New Brunswick,1975
CHARLO A,19.7,128.2,New Brunswick,1975
MIRAMICHI A,21.3,158.1,New Brunswick,1975
COLESON COVE,14.5,99.5,New Brunswick,1975
DAWSON SETTLEMENT,20.9,117.2,New Brunswick,1975
DOAKTOWN,20.7,113.8,New Brunswick,1975
EAST CANAAN,19.7,59.2,New Brunswick,1975
EDMUNDSTON FRASER CO,20.7,92.2,New Brunswick,1975
FREDERICTON A,20.9,85.9,New Brunswick,1975
FREDERICTON CDA,20.7,58.4,New Brunswick,1975
GAGETOWN 2,21.2,82.1,New Brunswick,1975
GRAND FALLS DRUMMOND,20.1,170.4,New Brunswick,1975
HARVEY STATION,20.6,78.5,New Brunswick,1975
JUNIPER,19.9,68.6,New Brunswick,1975
KEDGWICK,19.0,128.9,New Brunswick,1975
KESWICK RIDGE MACTAQUAC,22.0,50.5,New Brunswick,1975
KOUCHIBOUGUAC,21.5,99.8,New Brunswick,1975
LITTLE RIVER MINE,20.4,74.2,New Brunswick,1975
MAPLETON,19.9,96.9,New Brunswick,1975
MCADAM,20.5,113.1,New Brunswick,1975
MCGIVNEY,19.8,87.2,New Brunswick,1975
MCGRAW BROOK,20.7,68.2,New Brunswick,1975
MILLTOWN,20.5,45.0,New Brunswick,1975
MINTO,21.7,129.3,New Brunswick,1975
MISCOU ISLAND (AUT),19.3,111.1,New Brunswick,1975
MONCTON,21.4,66.5,New Brunswick,1975
MONCTON A,20.6,81.9,New Brunswick,1975
MOUNT CARLETON,19.3,82.1,New Brunswick,1975
NEPISIGUIT FALLS,20.5,130.9,New Brunswick,1975
NINE MILE BRK (CAMP 68),18.9,168.3,New Brunswick,1975
OROMOCTO,20.5,121.4,New Brunswick,1975
PLEASANT MOUNTAIN,19.3,55.6,New Brunswick,1975
RAPIDS DEPOT,20.4,149.0,New Brunswick,1975
RENOUS,21.4,138.5,New Brunswick,1975
REXTON,21.3,128.7,New Brunswick,1975
ROGERSVILLE,20.1,91.2,New Brunswick,1975
ROYAL ROAD,19.4,102.7,New Brunswick,1975
SACKVILLE,18.9,58.3,New Brunswick,1975
ST ANDREWS,18.5,50.1,New Brunswick,1975
ST GEORGE,17.1,59.9,New Brunswick,1975
SAINT JOHN A,16.7,102.6,New Brunswick,1975
SAINT JOHN BRIDGE,15.6,82.9,New Brunswick,1975
SEARSVILLE,19.2,135.8,New Brunswick,1975
SOUTHWEST HEAD,13.3,111.1,New Brunswick,1975
SUSSEX,20.1,130.6,New Brunswick,1975
TIDE HEAD,20.5,137.2,New Brunswick,1975
TRACADIE,20.6,118.7,New Brunswick,1975
UPSALQUITCH LAKE,18.8,19.6,New Brunswick,1975
WIGGINS POINT,21.6,93.2,New Brunswick,1975
WOODSTOCK,21.8,62.8,New Brunswick,1975
ABERCROMBIE POINT,21.8,21.0,Nova Scotia,1975
ANNAPOLIS ROYAL,19.4,89.8,Nova Scotia,1975
APRIL BROOK IHD,20.5,29.1,Nova Scotia,1975
BACCARO,13.6,61.0,Nova Scotia,1975
BADDECK,21.0,58.5,Nova Scotia,1975
BRIDGEWATER,20.3,83.8,Nova Scotia,1975
CAMBRIDGE STATION,21.8,100.3,Nova Scotia,1975
CAMDEN IHD,20.1,40.2,Nova Scotia,1975
CAPE SABLE,11.4,80.8,Nova Scotia,1975
CHAIN LAKE,18.5,37.1,Nova Scotia,1975
CHETICAMP,21.3,42.1,Nova Scotia,1975
CLARENCE,20.6,70.2,Nova Scotia,1975
CLEMENTSVALE,19.8,84.7,Nova Scotia,1975
CLIFTON,19.8,74.2,Nova Scotia,1975
COLLEGEVILLE,20.9,40.2,Nova Scotia,1975
DEMING,13.0,48.5,Nova Scotia,1975
DIGBY CKDY,18.4,101.7,Nova Scotia,1975
DIGBY PRIM POINT,18.0,80.8,Nova Scotia,1975
ECUM SECUM,14.5,52.7,Nova Scotia,1975
EDDY POINT,19.6,23.6,Nova Scotia,1975
FRASER BROOK IHD,19.6,35.7,Nova Scotia,1975
GREENWOOD A,21.3,88.3,Nova Scotia,1975
HALIFAX CITADEL,18.8,22.6,Nova Scotia,1975
HALIFAX INT'L A,19.6,70.8,Nova Scotia,1975
HUBBARDS,18.7,72.2,Nova Scotia,1975
INGONISH BEACH,20.9,27.7,Nova Scotia,1975
KEJIMKUJIK PARK,20.0,101.6,Nova Scotia,1975
KENTVILLE CDA,21.3,84.2,Nova Scotia,1975
LIVERPOOL BIG FALLS,20.3,91.2,Nova Scotia,1975
LIVERPOOL MILTON,20.7,58.2,Nova Scotia,1975
LOCH LOMOND,18.6,39.9,Nova Scotia,1975
LOUISBOURG,14.5,48.9,Nova Scotia,1975
LOWER L'ARDOISE,15.5,34.6,Nova Scotia,1975
LOWER MEAGHERS GRANT,20.0,18.9,Nova Scotia,1975
MARGAREE FORKS,20.5,46.9,Nova Scotia,1975
METEGHAN RIVER,16.5,64.4,Nova Scotia,1975
MIDDLE MUSQUODOBOIT,20.0,37.6,Nova Scotia,1975
MILL VILLAGE,19.9,74.5,Nova Scotia,1975
MOUNT UNIACKE,19.5,77.0,Nova Scotia,1975
NAPPAN CDA,19.6,59.7,Nova Scotia,1975
NORTHEAST MARGAREE,20.8,31.0,Nova Scotia,1975
OXFORD,21.3,53.3,Nova Scotia,1975
PARRSBORO,18.3,65.1,Nova Scotia,1975
PLEASANT BAY GRAND ANSE,21.1,52.7,Nova Scotia,1975
POINT TUPPER,21.2,8.9,Nova Scotia,1975
PORT HASTINGS,21.1,27.5,Nova Scotia,1975
PORT HOOD,23.3,14.5,Nova Scotia,1975
RAWDON,19.8,67.5,Nova Scotia,1975
RIVER DENYS,20.7,33.3,Nova Scotia,1975
RIVER HEBERT,19.2,69.6,Nova Scotia,1975
SABLE ISLAND,15.3,82.7,Nova Scotia,1975
ST MARGARET'S BAY,18.5,74.3,Nova Scotia,1975
SALMON HOLE,21.1,64.1,Nova Scotia,1975
SHARPE BROOK IHD,21.2,92.8,Nova Scotia,1975
SHEARWATER A,18.1,36.1,Nova Scotia,1975
SHELBURNE,18.5,50.7,Nova Scotia,1975
SPRINGFIELD,20.7,89.4,Nova Scotia,1975
STELLARTON LOURDES,21.6,20.5,Nova Scotia,1975
STILLWATER SHERBROOKE,19.3,29.7,Nova Scotia,1975
SUMMERVILLE,20.5,49.9,Nova Scotia,1975
SYDNEY A,20.2,26.9,Nova Scotia,1975
TATAMAGOUCHE,21.8,37.0,Nova Scotia,1975
TRAFALGAR,19.9,43.9,Nova Scotia,1975
TRURO,20.3,66.1,Nova Scotia,1975
UPPER STEWIACKE,20.1,28.4,Nova Scotia,1975
WESTERN HEAD,13.1,46.6,Nova Scotia,1975
WESTPHAL,19.1,28.8,Nova Scotia,1975
WEYMOUTH FALLS,19.5,83.7,Nova Scotia,1975
WINDSOR FALMOUTH,22.2,62.2,Nova Scotia,1975
YARMOUTH A,16.9,68.8,Nova Scotia,1975
ALBERTON,20.5,63.3,Prince Edward Island,1975
ALLISTON,21.4,29.3,Prince Edward Island,1975
BANGOR,21.2,33.3,Prince Edward Island,1975
CHARLOTTETOWN A,20.7,47.0,Prince Edward Island,1975
CHARLOTTETOWN CDA,21.3,37.2,Prince Edward Island,1975
EAST BALTIC,20.7,19.3,Prince Edward Island,1975
ELLERSLIE,21.2,87.4,Prince Edward Island,1975
HUNTER RIVER,20.9,47.4,Prince Edward Island,1975
MONTAGUE,21.0,16.4,Prince Edward Island,1975
MONTICELLO,20.8,31.0,Prince Edward Island,1975
NEW GLASGOW,21.1,37.4,Prince Edward Island,1975
LONG RIVER,20.7,56.1,Prince Edward Island,1975
O'LEARY,20.7,76.1,Prince Edward Island,1975
SOURIS,20.6,17.7,Prince Edward Island,1975
STANHOPE,20.7,37.8,Prince Edward Island,1975
SUMMERSIDE A,20.8,56.7,Prince Edward Island,1975
TIGNISH,20.9,87.7,Prince Edward Island,1975
ARNOLDS COVE,14.6,62.4,Newfoundland and Labrador,1975
AVONDALE CDA,17.7,80.3,Newfoundland and Labrador,1975
BAIE VERTE,19.1,62.8,Newfoundland and Labrador,1975
BAY D'ESPOIR GEN STN,18.8,136.0,Newfoundland and Labrador,1975
BONAVISTA,17.8,30.4,Newfoundland and Labrador,1975
BOTWOOD,20.9,51.3,Newfoundland and Labrador,1975
BUCHANS,19.7,31.0,Newfoundland and Labrador,1975
BURGEO,14.5,112.5,Newfoundland and Labrador,1975
BURNT POND,17.7,82.0,Newfoundland and Labrador,1975
CAPE ST GEORGE,16.3,121.6,Newfoundland and Labrador,1975
COLINET,15.7,96.9,Newfoundland and Labrador,1975
COLINET PEAT BOG CDA,15.5,86.9,Newfoundland and Labrador,1975
COME BY CHANCE,15.1,74.6,Newfoundland and Labrador,1975
COMFORT COVE,20.0,63.8,Newfoundland and Labrador,1975
CORNER BROOK,19.6,27.5,Newfoundland and Labrador,1975
DANIELS HARBOUR,16.4,53.4,Newfoundland and Labrador,1975
DEER LAKE,19.8,31.8,Newfoundland and Labrador,1975
DEER LAKE A,19.3,37.3,Newfoundland and Labrador,1975
EXPLOITS DAM,19.3,50.9,Newfoundland and Labrador,1975
FOGO,19.1,31.3,Newfoundland and Labrador,1975
GANDER INT'L A,19.9,62.1,Newfoundland and Labrador,1975
